fichier,phrase_id,position,mot,onset,offset,POS,surprisal_bits,surprise_structurale,oov,freq_zipf,n_phones
audio01.TextGrid,4,3,the,26.830,26.900,DT,0.7806,4.8448,0,7.73,2
audio01.TextGrid,4,4,boy,26.900,27.130,NN,13.6845,1.4522,0,5.17,2
audio01.TextGrid,4,5,sad,27.130,27.560,JJ,12.5103,6.2451,0,4.84,3
audio01.TextGrid,4,6,to,27.560,27.650,TO,-0.0000,4.8048,0,7.43,2
audio01.TextGrid,4,7,see,27.650,27.820,VB,6.6747,2.4488,0,6.1,2
audio01.TextGrid,4,8,the,27.820,27.960,DT,0.7806,2.1629,0,7.73,2
audio01.TextGrid,4,9,old,27.960,28.170,JJ,7.9253,2.4686,0,5.75,3
audio01.TextGrid,4,10,man,28.170,28.400,NN,10.0996,0.8757,0,5.82,3
audio01.TextGrid,4,11,come,28.400,28.660,VBN,8.2520,6.3882,0,5.78,3
audio01.TextGrid,4,12,in,28.660,28.780,IN,2.4946,3.5935,0,7.27,2
audio01.TextGrid,4,13,each,28.780,29.040,DT,7.4717,2.0113,0,5.69,2
audio01.TextGrid,4,14,day,29.040,29.270,NN,9.1610,1.2945,0,5.95,2
audio01.TextGrid,4,15,with,29.270,29.470,IN,4.6303,1.9542,0,6.85,3
audio01.TextGrid,4,16,his,29.470,29.660,PRP$,2.6039,4.8774,0,6.51,3
audio01.TextGrid,4,17,skiff,29.660,30.000,NN,4.8869,1.5077,1,2.63,4
audio01.TextGrid,4,18,empty,30.000,30.310,JJ,12.5103,6.4786,0,4.59,4
audio01.TextGrid,4,19,and,30.620,30.730,CC,0.5482,6.0923,0,7.41,2
audio01.TextGrid,4,20,he,30.730,30.820,PRP,2.5017,5.0174,0,6.69,2
audio01.TextGrid,4,21,always,30.820,31.060,RB,7.4625,4.0763,0,5.76,5
audio01.TextGrid,4,22,went,31.060,31.220,VBD,7.7639,2.4728,0,5.5,4
audio01.TextGrid,4,23,down,31.220,31.490,RB,7.0031,4.5001,0,5.88,3
audio01.TextGrid,4,24,to,31.490,31.630,TO,-0.0000,5.5553,0,7.43,2
audio01.TextGrid,4,25,help,31.630,31.830,VB,6.1091,2.0293,0,5.75,4
audio01.TextGrid,4,26,him,31.830,31.980,PRP,6.7448,5.1675,0,6.11,2
audio01.TextGrid,4,27,carry,31.980,32.450,VBP,9.3674,4.0020,0,4.89,4
audio01.TextGrid,4,28,either,32.450,32.770,RB,10.4625,2.7801,0,5.33,3
audio01.TextGrid,4,29,the,32.770,32.870,DT,0.7806,4.6895,0,7.73,2
audio01.TextGrid,4,30,coiled,32.870,33.340,JJ,5.1180,2.4213,1,2.9,4
audio01.TextGrid,4,31,lines,33.340,33.920,NNS,10.2401,2.8076,0,4.95,4
audio01.TextGrid,4,32,or,33.920,34.020,CC,2.9456,4.2984,0,6.54,1
audio01.TextGrid,4,33,the,34.020,34.130,DT,0.7806,3.5829,0,7.73,2
audio01.TextGrid,4,34,gaff,34.130,34.490,NN,4.8869,1.4493,1,2.68,3
audio01.TextGrid,4,35,and,34.490,34.660,CC,0.5482,5.1478,0,7.41,3
audio01.TextGrid,4,36,harpoon,34.660,35.270,NN,4.8869,2.0495,1,2.83,6
audio01.TextGrid,4,37,and,35.610,35.700,CC,0.5482,5.7050,0,7.41,2
audio01.TextGrid,4,38,the,35.700,35.800,DT,0.7806,3.3841,0,7.73,2
audio01.TextGrid,4,39,sail,35.800,36.150,NN,4.8869,1.4493,1,4.01,3
audio01.TextGrid,4,40,that,36.150,36.340,IN,4.2613,1.9542,0,7.01,3
audio01.TextGrid,4,41,was,36.340,36.520,VBD,3.0516,8.2410,0,6.82,3
audio01.TextGrid,4,42,furled,36.520,36.960,VBN,3.8305,4.5610,1,1.74,4
audio01.TextGrid,4,43,around,36.960,37.110,RP,6.1699,6.5307,0,5.77,4
audio01.TextGrid,4,44,the,37.110,37.190,DT,0.7806,3.2317,0,7.73,2
audio01.TextGrid,4,45,mast,37.190,37.760,NN,4.8869,1.6239,1,3.52,4
audio01.TextGrid,5,1,the,38.590,38.670,DT,0.7806,3.6796,0,7.73,2
audio01.TextGrid,5,2,sail,38.670,39.060,NN,4.8869,1.3067,1,4.01,3
audio01.TextGrid,5,3,was,39.060,39.300,VBD,3.0516,4.1007,0,6.82,3
audio01.TextGrid,5,4,patched,39.300,39.740,VBN,3.8305,3.2831,1,3.19,4
audio01.TextGrid,5,5,with,39.740,39.890,IN,4.6303,4.0984,0,6.85,3
audio01.TextGrid,5,6,flour,39.930,40.260,JJ,5.1180,3.4283,1,4.0,4
audio01.TextGrid,5,7,sacks,40.260,40.790,NNS,12.5620,1.6595,0,3.59,4
audio01.TextGrid,5,8,and,40.790,41.030,CC,0.5482,4.2984,0,7.41,3
audio01.TextGrid,5,9,furled,41.330,41.910,VBD,2.3092,4.6892,1,1.74,4
audio01.TextGrid,5,10,it,41.910,42.130,PRP,1.5724,6.1694,0,6.95,2
audio01.TextGrid,5,11,looked,42.130,42.370,VBN,11.0593,5.3366,0,5.11,4
audio01.TextGrid,5,12,like,42.370,42.590,IN,7.6522,4.5116,0,6.41,3
audio01.TextGrid,5,13,the,42.630,42.730,DT,0.7806,2.0113,0,7.73,2
audio01.TextGrid,5,14,flag,42.780,43.180,NN,12.0996,1.2945,0,4.58,4
audio01.TextGrid,5,15,of,43.180,43.280,IN,2.0839,1.9542,0,7.4,2
audio01.TextGrid,5,16,permanent,43.340,43.790,JJ,11.5103,3.3537,0,4.57,8
audio01.TextGrid,5,17,defeat,43.790,44.350,NN,13.6845,1.5694,0,4.51,5
audio01.TextGrid,6,1,the,45.910,46.010,DT,0.7806,3.6796,0,7.73,2
audio01.TextGrid,6,2,old,46.010,46.220,JJ,7.9253,2.8008,0,5.75,3
audio01.TextGrid,6,3,man,46.220,46.460,NN,10.0996,0.8757,0,5.82,3
audio01.TextGrid,6,4,was,46.460,46.690,VBD,3.0516,4.7249,0,6.82,3
audio01.TextGrid,6,5,thin,46.710,47.000,JJ,9.9253,4.3840,0,4.47,3
audio01.TextGrid,6,6,and,47.000,47.150,CC,0.5482,4.6493,0,7.41,3
audio01.TextGrid,6,7,gaunt,47.150,47.650,NN,12.5103,1.9039,1,2.9,4
audio01.TextGrid,6,8,with,47.650,47.800,IN,4.6303,4.2604,0,6.85,3
audio01.TextGrid,6,9,deep,47.800,48.110,JJ,5.1180,3.6922,1,5.05,3
audio01.TextGrid,6,10,wrinkles,48.110,48.570,NNS,5.7165,1.6595,1,3.31,7
audio01.TextGrid,6,11,in,48.570,48.650,IN,2.4946,2.1158,0,7.27,2
audio01.TextGrid,6,12,the,48.650,48.730,DT,0.7806,1.7704,0,7.73,2
audio01.TextGrid,6,13,back,48.730,49.000,NN,12.6845,1.2945,0,6.04,3
audio01.TextGrid,6,14,of,49.000,49.090,IN,2.0839,1.9542,0,7.4,2
audio01.TextGrid,6,15,his,49.090,49.270,PRP$,2.6039,4.8774,0,6.51,3
audio01.TextGrid,6,16,neck,49.270,49.630,NN,4.8869,1.5077,1,4.63,3
audio01.TextGrid,7,1,the,50.470,50.550,DT,0.7806,3.6796,0,7.73,2
audio01.TextGrid,7,2,brown,50.550,50.840,JJ,5.1180,2.8008,1,5.01,4
audio01.TextGrid,7,3,blotches,50.840,51.470,NNS,5.7165,2.8076,1,2.45,7
audio01.TextGrid,7,4,of,51.470,51.570,IN,2.0839,2.1158,0,7.4,2
audio01.TextGrid,7,5,the,51.570,51.660,DT,0.7806,1.7704,0,7.73,2
audio01.TextGrid,7,6,benevolent,51.660,52.170,JJ,12.5103,2.3502,0,3.34,10
audio01.TextGrid,7,7,skin,52.170,52.510,NN,12.0996,0.8757,0,4.91,4
audio01.TextGrid,7,8,cancer,52.510,52.990,NN,10.8772,3.0353,0,4.93,5
audio01.TextGrid,7,9,the,52.990,53.100,DT,0.7806,6.4806,0,7.73,2
audio01.TextGrid,7,10,sun,53.100,53.390,JJ,5.1180,3.3024,1,4.97,3
audio01.TextGrid,7,11,brings,53.390,53.800,VBZ,10.0532,8.1598,0,4.61,5
audio01.TextGrid,7,12,from,53.800,53.980,IN,4.6559,4.1526,0,6.63,4
