fichier,phrase_id,position,mot,onset,offset,POS,surprise_incrementale,freq_zipf,n_phones
audio01.TextGrid,11,7,his,73.300,73.450,PRP$,7.6061,6.51,3
audio01.TextGrid,11,8,eyes,73.450,73.940,NNS,13.8514,5.21,2
audio01.TextGrid,11,9,and,74.100,74.200,CC,6.0378,7.41,2
audio01.TextGrid,11,10,they,74.200,74.290,PRP,8.7284,6.5,2
audio01.TextGrid,11,11,were,74.290,74.420,VBD,7.1219,6.34,2
audio01.TextGrid,11,12,the,74.420,74.510,DT,3.8715,7.73,2
audio01.TextGrid,11,13,same,74.510,74.820,JJ,10.4119,5.8,3
audio01.TextGrid,11,14,color,74.820,75.160,NN,14.5791,4.91,4
audio01.TextGrid,11,15,as,75.160,75.290,IN,6.6280,6.77,2
audio01.TextGrid,11,16,the,75.290,75.390,DT,2.5795,7.73,2
audio01.TextGrid,11,17,sea,75.390,75.750,NN,12.1286,5.06,2
audio01.TextGrid,11,18,and,75.910,76.040,CC,5.5702,7.41,2
audio01.TextGrid,11,19,were,76.040,76.180,VBD,11.5833,6.34,2
audio01.TextGrid,11,20,cheerful,76.180,76.740,JJ,8.6828,3.6,6
audio01.TextGrid,11,21,and,76.740,76.900,CC,5.8616,7.41,3
audio01.TextGrid,11,22,undefeated,76.900,77.660,JJ,7.1469,3.62,9
audio01.TextGrid,12,1,santiago,79.390,80.080,RB,8.7792,3.66,8
audio01.TextGrid,12,2,the,80.330,80.400,DT,4.9491,7.73,2
audio01.TextGrid,12,3,boy,80.400,80.630,NN,14.9998,5.17,2
audio01.TextGrid,12,4,said,80.630,80.900,VBD,6.0901,6.01,3
audio01.TextGrid,12,5,to,80.900,81.000,TO,5.3050,7.43,2
audio01.TextGrid,12,6,him,81.000,81.130,PRP,13.5083,6.11,2
audio01.TextGrid,12,7,as,81.130,81.260,IN,6.4474,6.77,2
audio01.TextGrid,12,8,they,81.260,81.350,PRP,7.9852,6.5,2
audio01.TextGrid,12,9,climbed,81.350,81.700,VBD,12.6459,3.85,5
audio01.TextGrid,12,10,the,81.700,81.770,DT,3.7936,7.73,2
audio01.TextGrid,12,11,bank,81.770,82.110,NN,9.2015,5.16,4
audio01.TextGrid,12,12,from,82.110,82.240,IN,6.9916,6.63,3
audio01.TextGrid,12,13,where,82.240,82.360,WRB,12.3245,6.0,3
audio01.TextGrid,12,14,the,82.360,82.460,DT,3.7034,7.73,2
audio01.TextGrid,12,15,skiff,82.460,82.770,NN,6.0661,2.63,4
audio01.TextGrid,12,16,was,82.770,82.910,VBD,6.2962,6.82,3
audio01.TextGrid,12,17,hauled,82.910,83.140,VBN,16.7155,3.43,4
audio01.TextGrid,12,18,up,83.140,83.360,RP,7.5772,6.39,2
audio01.TextGrid,13,1,i,84.080,84.170,NN,6.9517,7.09,1
audio01.TextGrid,13,2,could,84.170,84.340,MD,7.2569,6.06,3
audio01.TextGrid,13,3,go,84.340,84.480,VB,9.6179,6.03,2
audio01.TextGrid,13,4,with,84.480,84.640,IN,7.8140,6.85,3
audio01.TextGrid,13,5,you,84.640,84.780,PRP,9.1488,6.98,2
audio01.TextGrid,13,6,again,84.780,85.140,RB,12.6898,5.7,4
audio01.TextGrid,13,7,we,85.330,85.420,PRP,11.0944,6.54,2
audio01.TextGrid,13,8,ve,85.420,85.480,VBP,6.1991,4.56,2
audio01.TextGrid,13,9,made,85.480,85.670,VBD,9.9264,5.92,3
audio01.TextGrid,13,10,some,85.670,85.840,DT,8.6982,6.2,3
audio01.TextGrid,13,11,money,85.840,86.220,NN,9.0287,5.64,4
audio01.TextGrid,14,1,the,87.640,87.740,DT,3.2076,7.73,2
audio01.TextGrid,14,2,old,87.740,87.970,JJ,11.1903,5.75,3
audio01.TextGrid,14,3,man,87.970,88.170,NN,11.2279,5.82,3
audio01.TextGrid,14,4,had,88.170,88.330,VBD,7.7231,6.33,3
audio01.TextGrid,14,5,taught,88.330,88.480,VBN,15.1638,4.68,3
audio01.TextGrid,14,6,the,88.480,88.590,DT,3.8134,7.73,2
audio01.TextGrid,14,7,boy,88.590,88.760,NN,14.8513,5.17,2
audio01.TextGrid,14,8,to,88.760,88.870,TO,5.0759,7.43,2
audio01.TextGrid,14,9,fish,88.870,89.240,VB,7.3574,4.9,3
audio01.TextGrid,14,10,and,89.240,89.330,CC,6.1378,7.41,2
audio01.TextGrid,14,11,the,89.330,89.400,DT,5.6233,7.73,2
audio01.TextGrid,14,12,boy,89.400,89.600,NN,14.8295,5.17,2
audio01.TextGrid,14,13,loved,89.600,89.910,VBD,16.6716,5.0,4
audio01.TextGrid,14,14,him,89.910,90.060,PRP,12.7199,6.11,2
audio01.TextGrid,15,1,no,90.830,91.140,DT,8.9313,6.35,2
audio01.TextGrid,15,2,the,91.480,91.600,DT,6.7736,7.73,2
audio01.TextGrid,15,3,old,91.600,91.790,JJ,10.7667,5.75,3
audio01.TextGrid,15,4,man,91.790,92.010,NN,11.1812,5.82,3
audio01.TextGrid,15,5,said,92.010,92.360,VBD,7.4028,6.01,3
audio01.TextGrid,16,1,you,92.900,93.040,PRP,7.2212,6.98,2
audio01.TextGrid,16,2,re,93.040,93.100,VBP,5.6655,5.23,2
audio01.TextGrid,16,3,with,93.100,93.280,IN,7.7404,6.85,3
audio01.TextGrid,16,4,a,93.280,93.360,DT,3.9068,7.36,1
audio01.TextGrid,16,5,lucky,93.360,93.670,JJ,15.6531,4.77,4
audio01.TextGrid,16,6,boat,93.670,94.070,NN,5.8089,4.71,3
audio01.TextGrid,16,7,stay,94.220,94.450,NN,15.0934,5.33,3
audio01.TextGrid,16,8,with,94.450,94.710,IN,7.8207,6.85,3
audio01.TextGrid,16,9,them,94.710,94.930,PRP,9.6862,6.19,3
audio01.TextGrid,17,1,but,96.070,96.240,CC,8.3566,6.63,3
audio01.TextGrid,17,2,remember,96.240,96.600,VB,15.0590,5.38,7
audio01.TextGrid,17,3,how,96.600,96.720,WRB,11.7537,6.24,2
audio01.TextGrid,17,4,you,96.720,96.880,PRP,7.3581,6.98,2
audio01.TextGrid,17,5,went,96.880,97.040,VBD,10.3730,5.5,4
audio01.TextGrid,17,6,eighty,97.040,97.280,VB,8.2351,3.75,3
audio01.TextGrid,17,7,seven,97.280,97.550,CD,13.3945,5.08,5
audio01.TextGrid,17,8,days,97.550,97.820,NNS,9.1247,5.61,3
audio01.TextGrid,17,9,without,97.820,98.090,IN,10.2323,5.69,5
audio01.TextGrid,17,10,fish,98.090,98.370,JJ,7.6458,4.9,3
audio01.TextGrid,17,11,and,98.630,98.710,CC,5.7201,7.41,2
audio01.TextGrid,17,12,then,98.710,98.870,RB,12.4718,6.07,3
audio01.TextGrid,17,13,we,98.870,98.960,PRP,12.2994,6.54,2
audio01.TextGrid,17,14,caught,98.960,99.170,VBD,13.2131,4.9,3
audio01.TextGrid,17,15,big,99.170,99.420,JJ,10.5958,5.67,3
audio01.TextGrid,17,16,ones,99.420,99.670,NNS,11.8649,5.07,4
audio01.TextGrid,17,17,every,99.670,99.870,DT,13.2490,5.79,4
audio01.TextGrid,17,18,day,99.870,100.040,NN,10.0558,5.95,2
audio01.TextGrid,17,19,for,100.040,100.160,IN,5.5411,7.01,2
audio01.TextGrid,17,20,three,100.160,100.390,CD,10.2347,5.78,3
audio01.TextGrid,17,21,weeks,100.390,100.780,NNS,10.2285,5.19,4
audio01.TextGrid,18,1,i,102.110,102.220,JJ,6.9517,7.09,1
audio01.TextGrid,18,2,remember,102.220,102.740,VBP,14.1868,5.38,7
audio01.TextGrid,18,3,the,102.930,103.060,DT,3.3082,7.73,2
audio01.TextGrid,18,4,old,103.060,103.240,JJ,10.7221,5.75,3
audio01.TextGrid,18,5,man,103.240,103.490,NN,11.1374,5.82,3
audio01.TextGrid,18,6,said,103.490,103.820,VBD,9.0008,6.01,3
audio01.TextGrid,19,1,i,104.350,104.480,NN,6.9517,7.09,1
audio01.TextGrid,19,2,know,104.480,104.650,VBP,10.1873,6.1,2
audio01.TextGrid,19,3,you,104.650,104.760,PRP,10.2312,6.98,2
audio01.TextGrid,19,4,did,104.760,104.950,VBD,8.9693,5.96,3
audio01.TextGrid,19,5,not,104.950,105.180,RB,8.3395,6.69,3
audio01.TextGrid,19,6,leave,105.180,105.370,VB,12.4312,5.34,3
audio01.TextGrid,19,7,me,105.370,105.480,PRP,13.5574,6.48,2
audio01.TextGrid,19,8,because,105.480,105.840,IN,9.3794,6.03,5
audio01.TextGrid,19,9,you,105.840,105.940,PRP,9.4159,6.98,2
