fichier,phrase_id,position,mot,onset,offset,POS,surprise_llm,freq_zipf,n_phones
audio01.TextGrid,7,4,of,51.470,51.570,IN,3.2003,7.4,2
audio01.TextGrid,7,5,the,51.570,51.660,DT,2.7213,7.73,2
audio01.TextGrid,7,6,benevolent,51.660,52.170,NN,23.6954,3.34,10
audio01.TextGrid,7,7,skin,52.170,52.510,NN,13.9977,4.91,4
audio01.TextGrid,7,8,cancer,52.510,52.990,NN,14.1059,4.93,5
audio01.TextGrid,7,9,the,52.990,53.100,DT,7.4910,7.73,2
audio01.TextGrid,7,10,sun,53.100,53.390,JJ,8.0752,4.97,3
audio01.TextGrid,7,11,brings,53.390,53.800,NNS,16.9240,4.61,5
audio01.TextGrid,7,12,from,53.800,53.980,IN,9.5377,6.63,4
audio01.TextGrid,7,13,its,53.980,54.170,PRP$,6.7182,6.14,3
audio01.TextGrid,7,14,reflection,54.170,54.640,NN,14.3588,4.17,9
audio01.TextGrid,7,15,on,54.640,54.780,IN,4.7786,6.91,2
audio01.TextGrid,7,16,the,54.780,54.860,DT,1.1293,7.73,2
audio01.TextGrid,7,17,tropic,54.860,55.280,NN,19.8581,2.83,6
audio01.TextGrid,7,18,sea,55.280,55.650,NN,9.4452,5.06,2
audio01.TextGrid,7,19,were,55.650,55.820,VBD,13.5574,6.34,2
audio01.TextGrid,7,20,on,55.820,55.980,IN,5.8738,6.91,2
audio01.TextGrid,7,21,his,55.980,56.160,PRP$,7.1745,6.51,3
audio01.TextGrid,7,22,cheeks,56.160,56.630,NN,18.9864,3.82,4
audio01.TextGrid,8,1,the,57.690,57.760,DT,11.8924,7.73,2
audio01.TextGrid,8,2,blotches,57.760,58.200,NNS,31.2767,2.45,7
audio01.TextGrid,8,3,ran,58.200,58.380,VBD,15.8855,4.87,3
audio01.TextGrid,8,4,well,58.380,58.610,RB,9.1855,6.03,3
audio01.TextGrid,8,5,down,58.610,58.890,IN,8.4775,5.88,3
audio01.TextGrid,8,6,the,58.890,58.980,DT,2.2364,7.73,2
audio01.TextGrid,8,7,sides,58.980,59.290,NNS,10.4613,4.73,4
audio01.TextGrid,8,8,of,59.290,59.400,IN,0.4998,7.4,2
audio01.TextGrid,8,9,his,59.400,59.600,PRP$,8.0638,6.51,3
audio01.TextGrid,8,10,face,59.600,60.070,NN,5.4184,5.45,3
audio01.TextGrid,8,11,and,60.070,60.220,CC,4.3448,7.41,3
audio01.TextGrid,8,12,his,60.220,60.410,PRP$,6.2018,6.51,3
audio01.TextGrid,8,13,hands,60.410,60.870,NNS,7.6666,5.16,4
audio01.TextGrid,8,14,had,60.870,61.020,VBD,9.7138,6.33,3
audio01.TextGrid,8,15,the,61.020,61.090,DT,5.2988,7.73,2
audio01.TextGrid,8,16,deep,61.090,61.370,JJ,10.1695,5.05,3
audio01.TextGrid,8,17,creased,61.370,61.820,JJ,24.0151,2.46,5
audio01.TextGrid,8,18,scars,61.820,62.350,NNS,14.8141,3.76,5
audio01.TextGrid,8,19,from,62.350,62.520,IN,6.7315,6.63,3
audio01.TextGrid,8,20,handling,62.520,62.900,VBG,15.8594,4.39,7
audio01.TextGrid,8,21,heavy,62.900,63.190,JJ,16.6937,4.96,4
audio01.TextGrid,8,22,fish,63.190,63.470,NN,10.1096,4.9,3
audio01.TextGrid,8,23,on,63.470,63.590,IN,4.2319,6.91,2
audio01.TextGrid,8,24,the,63.590,63.680,DT,3.4795,7.73,2
audio01.TextGrid,8,25,cords,63.680,64.240,NNS,19.2142,3.35,5
audio01.TextGrid,9,1,but,64.840,65.070,CC,16.1685,6.63,3
audio01.TextGrid,9,2,none,65.070,65.290,NN,14.8439,4.93,3
audio01.TextGrid,9,3,of,65.290,65.390,IN,0.8210,7.4,2
audio01.TextGrid,9,4,these,65.390,65.580,DT,2.9349,6.04,3
audio01.TextGrid,9,5,scars,65.580,66.030,NNS,16.5497,3.76,5
audio01.TextGrid,9,6,were,66.030,66.100,VBD,7.0865,6.34,2
audio01.TextGrid,9,7,fresh,66.100,66.570,JJ,11.5162,4.83,4
audio01.TextGrid,10,1,they,67.230,67.350,PRP,20.3883,6.5,2
audio01.TextGrid,10,2,were,67.350,67.580,VBD,5.8725,6.34,2
audio01.TextGrid,10,3,as,67.580,67.690,RB,9.0625,6.77,2
audio01.TextGrid,10,4,old,67.690,68.040,JJ,9.7550,5.75,3
audio01.TextGrid,10,5,as,68.040,68.160,IN,0.3318,6.77,2
audio01.TextGrid,10,6,erosions,68.160,68.830,NNS,25.3925,1.72,7
audio01.TextGrid,10,7,in,68.830,68.920,IN,5.2174,7.27,2
audio01.TextGrid,10,8,a,68.920,68.980,DT,4.8893,7.36,1
audio01.TextGrid,10,9,fishless,68.980,69.530,NN,27.6546,1.32,6
audio01.TextGrid,10,10,desert,69.550,70.050,NN,12.2209,4.4,5
audio01.TextGrid,11,1,everything,71.720,72.090,NN,16.6066,5.54,7
audio01.TextGrid,11,2,about,72.090,72.400,IN,5.0029,6.4,4
audio01.TextGrid,11,3,him,72.400,72.500,PRP,7.9674,6.11,2
audio01.TextGrid,11,4,was,72.500,72.650,VBD,3.7139,6.82,3
audio01.TextGrid,11,5,old,72.650,72.980,JJ,11.2942,5.75,3
audio01.TextGrid,11,6,except,72.980,73.300,IN,14.1197,5.02,6
audio01.TextGrid,11,7,his,73.300,73.450,PRP$,4.6390,6.51,3
audio01.TextGrid,11,8,eyes,73.450,73.940,NNS,6.8114,5.21,2
audio01.TextGrid,11,9,and,74.100,74.200,CC,3.4366,7.41,2
audio01.TextGrid,11,10,they,74.200,74.290,PRP,8.8802,6.5,2
audio01.TextGrid,11,11,were,74.290,74.420,VBD,2.8419,6.34,2
audio01.TextGrid,11,12,the,74.420,74.510,DT,5.3326,7.73,2
audio01.TextGrid,11,13,same,74.510,74.820,JJ,6.1653,5.8,3
audio01.TextGrid,11,14,color,74.820,75.160,NN,9.9349,4.91,4
