fichier,phrase_id_con,position_con,mot_con,onset,offset_con,POS,surprisal_bits,oov,phrase_id_dep,position_dep,mot_dep,offset_dep,relation,tete,tete_position,tete_onset,profondeur,dist_pos,dist_temps,est_tete,mot,offset,duree
audio01.TextGrid,9.0,13.0,each,28.78,29.04,DT,7.4717,0.0,6,13,EACH,29.04,,EMPTY,18.0,30.0,1.0,5.0,1.2199999999999989,False,each,29.04,0.259999999999998
audio01.TextGrid,9.0,14.0,day,29.04,29.27,NN,9.161,0.0,6,14,DAY,29.27,,EMPTY,18.0,30.0,1.0,4.0,0.9600000000000009,False,day,29.27,0.23000000000000043
audio01.TextGrid,9.0,15.0,with,29.27,29.47,IN,4.6303,0.0,6,15,WITH,29.47,,EMPTY,18.0,30.0,1.0,3.0,0.7300000000000004,False,with,29.47,0.1999999999999993
audio01.TextGrid,10.0,1.0,his,29.47,29.66,PRP$,2.6039,0.0,6,16,HIS,29.66,,EMPTY,18.0,30.0,1.0,2.0,0.5300000000000011,False,his,29.66,0.19000000000000128
audio01.TextGrid,10.0,2.0,skiff,29.66,30.0,NN,4.8869,1.0,6,17,SKIFF,30.0,,EMPTY,18.0,30.0,1.0,1.0,0.33999999999999986,False,skiff,30.0,0.33999999999999986
audio01.TextGrid,10.0,3.0,empty,30.0,30.31,JJ,12.5103,0.0,6,18,EMPTY,30.31,,ROOT,0.0,,0.0,,,True,empty,30.31,0.3099999999999987
audio01.TextGrid,10.0,4.0,and,30.62,30.73,CC,0.5482,0.0,6,19,AND,30.73,,ROOT,0.0,,0.0,,,False,and,30.73,0.10999999999999943
audio01.TextGrid,10.0,5.0,he,30.73,30.82,PRP,2.5017,0.0,6,20,HE,30.82,,COILED,30.0,32.87,1.0,10.0,2.139999999999997,False,he,30.82,0.08999999999999986
audio01.TextGrid,10.0,6.0,always,30.82,31.06,RB,7.4625,0.0,6,21,ALWAYS,31.06,,COILED,30.0,32.87,1.0,9.0,2.049999999999997,False,always,31.06,0.23999999999999844
audio01.TextGrid,10.0,7.0,went,31.06,31.22,VBD,7.7639,0.0,6,22,WENT,31.22,,COILED,30.0,32.87,1.0,8.0,1.8099999999999987,False,went,31.22,0.16000000000000014
audio01.TextGrid,10.0,8.0,down,31.22,31.49,RB,7.0031,0.0,6,23,DOWN,31.49,,COILED,30.0,32.87,1.0,7.0,1.6499999999999986,False,down,31.49,0.2699999999999996
audio01.TextGrid,10.0,9.0,to,31.49,31.63,TO,-0.0,0.0,6,24,TO,31.63,,COILED,30.0,32.87,1.0,6.0,1.379999999999999,False,to,31.63,0.14000000000000057
audio01.TextGrid,10.0,10.0,help,31.63,31.83,VB,6.1091,0.0,6,25,HELP,31.83,,COILED,30.0,32.87,1.0,5.0,1.2399999999999984,False,help,31.83,0.1999999999999993
audio01.TextGrid,10.0,11.0,him,31.83,31.98,PRP,6.7448,0.0,6,26,HIM,31.98,,COILED,30.0,32.87,1.0,4.0,1.0399999999999991,False,him,31.98,0.15000000000000213
audio01.TextGrid,10.0,12.0,carry,31.98,32.45,VB,8.3185,0.0,6,27,CARRY,32.45,,COILED,30.0,32.87,1.0,3.0,0.889999999999997,False,carry,32.45,0.4700000000000024
audio01.TextGrid,10.0,13.0,either,32.45,32.77,RB,10.4625,0.0,6,28,EITHER,32.77,,COILED,30.0,32.87,1.0,2.0,0.4199999999999946,False,either,32.77,0.3200000000000003
audio01.TextGrid,10.0,14.0,the,32.77,32.87,DT,0.7806,0.0,6,29,THE,32.87,,COILED,30.0,32.87,1.0,1.0,0.09999999999999432,False,the,32.87,0.09999999999999432
audio01.TextGrid,10.0,15.0,coiled,32.87,33.34,JJ,5.118,1.0,6,30,COILED,33.34,,ROOT,0.0,,0.0,,,True,coiled,33.34,0.47000000000000597
audio01.TextGrid,11.0,1.0,lines,33.34,33.92,NNS,10.2401,0.0,7,1,LINES,33.92,,FURLED,12.0,36.52,1.0,11.0,3.1799999999999997,False,lines,33.92,0.5799999999999983
