fichier,phrase_id,position,mot,onset,offset,relation,tete
audio01.TextGrid,7,15,MAST,37.190,37.760,,AROUND
audio01.TextGrid,8,1,THE,38.590,38.670,,LOOKED
audio01.TextGrid,8,2,SAIL,38.670,39.060,,LOOKED
audio01.TextGrid,8,3,WAS,39.060,39.300,,LOOKED
audio01.TextGrid,8,4,PATCHED,39.300,39.740,,LOOKED
audio01.TextGrid,8,5,WITH,39.740,39.890,,LOOKED
audio01.TextGrid,8,6,FLOUR,39.930,40.260,,LOOKED
audio01.TextGrid,8,7,SACKS,40.260,40.790,,LOOKED
audio01.TextGrid,8,8,AND,40.790,41.030,,LOOKED
audio01.TextGrid,8,9,FURLED,41.330,41.910,,LOOKED
audio01.TextGrid,8,10,IT,41.910,42.130,,LOOKED
audio01.TextGrid,8,11,LOOKED,42.130,42.370,,ROOT
audio01.TextGrid,8,12,LIKE,42.370,42.590,,LOOKED
audio01.TextGrid,8,13,THE,42.630,42.730,,DEFEAT
audio01.TextGrid,8,14,FLAG,42.780,43.180,,DEFEAT
audio01.TextGrid,8,15,OF,43.180,43.280,,DEFEAT
audio01.TextGrid,8,16,PERMANENT,43.340,43.790,,DEFEAT
audio01.TextGrid,8,17,DEFEAT,43.790,44.350,,LIKE
audio01.TextGrid,9,1,THE,45.910,46.010,,BACK
audio01.TextGrid,9,2,OLD,46.010,46.220,,BACK
audio01.TextGrid,9,3,MAN,46.220,46.460,,BACK
audio01.TextGrid,9,4,WAS,46.460,46.690,,BACK
audio01.TextGrid,9,5,THIN,46.710,47.000,,BACK
audio01.TextGrid,9,6,AND,47.000,47.150,,BACK
audio01.TextGrid,9,7,GAUNT,47.150,47.650,,BACK
audio01.TextGrid,9,8,WITH,47.650,47.800,,BACK
audio01.TextGrid,9,9,DEEP,47.800,48.110,,BACK
audio01.TextGrid,9,10,WRINKLES,48.110,48.570,,BACK
audio01.TextGrid,9,11,IN,48.570,48.650,,BACK
audio01.TextGrid,9,12,THE,48.650,48.730,,BACK
audio01.TextGrid,9,13,BACK,48.730,49.000,,ROOT
audio01.TextGrid,9,14,OF,49.000,49.090,,BACK
audio01.TextGrid,9,15,HIS,49.090,49.270,,NECK
audio01.TextGrid,9,16,NECK,49.270,49.630,,OF
audio01.TextGrid,10,1,THE,50.470,50.550,,BLOTCHES
audio01.TextGrid,10,2,BROWN,50.550,50.840,,BLOTCHES
audio01.TextGrid,10,3,BLOTCHES,50.840,51.470,,ROOT
audio01.TextGrid,10,4,OF,51.470,51.570,,BLOTCHES
audio01.TextGrid,10,5,THE,51.570,51.660,,CHEEKS
audio01.TextGrid,10,6,BENEVOLENT,51.660,52.170,,CHEEKS
audio01.TextGrid,10,7,SKIN,52.170,52.510,,CHEEKS
audio01.TextGrid,10,8,CANCER,52.510,52.990,,CHEEKS
audio01.TextGrid,10,9,THE,52.990,53.100,,CHEEKS
audio01.TextGrid,10,10,SUN,53.100,53.390,,CHEEKS
